nome,paese
Ario,Czech Republic
Ely,United States
Lu,Venezuela
Jacqui,United States
Clim,Russia
Geoffrey,China
Cynthy,Indonesia
Elinore,China
Hadley,Finland
Vitoria,Honduras
Rhodie,China
Cordelie,France
Earl,Mexico
Ulysses,Philippines
Nigel,China
Lynelle,Portugal
Trista,Mexico
Alphonse,Tanzania
